OrderID,CustomerName,Email,Phone,City,State,ProductCategory,Product,Quantity,UnitPrice,TotalPrice,OrderDate,PaymentMethod,Shipped
ORD1026,Brittany Tran,jennaspencer@taylor.biz,176-435-4262x83427,Julieport,Maryland,Clothing,T-shirt,7,738.71,5170.97,2024-12-13,Cash,No
ORD1027,Matthew Gutierrez,dowens@carr-marsh.com,588.751.8859x85481,Reevesburgh,Georgia,Clothing,T-shirt,5,1999.54,9997.7,2025-07-01,Credit Card,No
ORD1028,Devin Mason,davisbrandi@reed-jones.info,003.443.2071,Davidport,California,Clothing,Action Figure,4,155.13,620.52,2025-07-18,Cash,Yes
ORD1029,Daryl Hernandez,patricia83@hotmail.com,9456096066,North Amanda,North Dakota,Toys,Vacuum,8,1102.01,8816.08,2025-02-19,Credit Card,Yes
ORD1030,Charles Rollins,john79@preston.org,+1-135-395-2050x7110,Dianabury,Wyoming,Home,Action Figure,6,1544.9,9269.4,2025-07-06,PayPal,Yes
ORD1031,Pamela Jones,jessicaliu@hotmail.com,+1-835-202-3874,Port Feliciaburgh,Arkansas,Toys,Laptop,6,1604.12,9624.72,2025-09-23,Cash,Yes
ORD1032,Sandra Burton,daniel67@yahoo.com,+1-666-010-1730x9183,Lindafort,Nebraska,Electronics,Laptop,6,1398.79,8392.74,2025-09-07,PayPal,Yes
ORD1033,Lindsey Parks,suarezkyle@yahoo.com,(944)949-7803x2084,Port Jared,North Carolina,Clothing,Laptop,8,288.79,2310.32,2024-12-27,Cash,Yes
ORD1034,Joseph Smith,jesus16@gmail.com,001-060-248-3193x007,South Ashley,Montana,Toys,T-shirt,1,69.16,69.16,2025-06-07,Credit Card,Yes
ORD1035,Colleen Rogers,justinlawson@jensen-heath.org,308.765.1939,South Rodney,Oregon,Toys,Action Figure,8,1139.02,9112.16,2024-11-05,Cash,No
ORD1036,Tina Gordon,ccombs@carpenter.com,(742)560-3294x217,Port Williamtown,Maryland,Home,Laptop,4,1415.59,5662.36,2025-08-17,Cash,Yes
ORD1037,Jennifer Phillips,paul42@bray.com,+1-478-529-8297,Perryfort,Massachusetts,Home,Action Figure,9,253.78,2284.02,2025-07-31,Cash,Yes
ORD1038,Denise Kelley,hayeskimberly@thomas.org,+1-278-053-5704x63992,Kristintown,New York,Clothing,Laptop,5,1522.85,7614.25,2025-07-16,PayPal,No
ORD1039,Thomas Ortiz,ntucker@gmail.com,001-585-571-9687,North Michael,Iowa,Sports,T-shirt,6,218.44,1310.64,2025-05-28,Credit Card,Yes
ORD1040,Parker Hernandez,jason26@hotmail.com,7445586154,Port Craigtown,Hawaii,Sports,T-shirt,8,84.21,673.68,2025-08-28,PayPal,Yes
ORD1041,Judith Byrd DVM,robertowens@gmail.com,276-859-3405,Lake Donna,Florida,Home,Laptop,2,629.9,1259.8,2025-09-05,PayPal,Yes
ORD1042,Rachel Gonzalez,christine85@hotmail.com,+1-537-207-9293x8736,Walkerstad,Minnesota,Sports,Vacuum,5,159.62,798.1,2024-12-04,Cash,Yes
ORD1043,Angela Harris,janet82@hotmail.com,535-049-6774,Jonesborough,Minnesota,Clothing,Vacuum,6,339.39,2036.34,2024-11-21,PayPal,No
ORD1044,Jacqueline Anderson,imoody@houston.info,+1-741-866-4915x2511,South Laura,Oregon,Sports,Vacuum,4,1635.0,6540.0,2024-12-22,Cash,Yes
ORD1045,Melissa Clark,bryce51@yahoo.com,001-520-953-7458x558,Lake Sarahshire,Massachusetts,Clothing,Action Figure,4,1852.36,7409.44,2025-03-01,Cash,No
ORD1046,Misty Johnson,sgates@hodges.info,001-629-159-3099,Hunterside,Alaska,Clothing,Action Figure,6,1361.24,8167.44,2025-01-13,PayPal,No
ORD1047,Bridget Scott,robinsonpatricia@parsons.biz,+1-902-207-2125,Sarahshire,North Carolina,Sports,Basketball,9,178.39,1605.51,2025-07-03,Credit Card,No
ORD1048,David Jackson,ncarrillo@hotmail.com,315-557-1492,Patricktown,Oregon,Home,Basketball,7,523.5,3664.5,2025-01-22,PayPal,Yes
ORD1049,Donald Hernandez,shirleymartin@white.net,+1-635-425-3412,Gouldton,Georgia,Clothing,T-shirt,10,433.77,4337.7,2025-10-02,Cash,Yes
ORD1050,Renee Olson,theresarodriguez@friedman-watson.com,9037927226,Morenoburgh,Hawaii,Home,Basketball,10,1506.05,15060.5,2025-04-21,Cash,No
ORD1051,Michelle Nelson,mccoycarolyn@jones-ortiz.com,001-930-904-7805x913,Tylerland,Virginia,Electronics,Action Figure,4,570.33,2281.32,2024-11-17,PayPal,No
ORD1052,Kimberly Calderon,turnerkelly@hotmail.com,714.907.2734x2177,Austinburgh,Wisconsin,Clothing,Basketball,6,1855.93,11135.58,2025-02-02,Cash,Yes
ORD1053,Kimberly Rodriguez,wilkersonmonique@hotmail.com,(511)191-7424x23677,Morafort,Illinois,Home,Vacuum,10,602.45,6024.5,2025-02-19,Cash,No
ORD1054,Nicole Richardson,mcneilkara@bartlett-miller.com,332.994.5203x43512,New Amy,Tennessee,Home,Basketball,6,637.09,3822.54,2024-12-01,PayPal,No
ORD1055,Mr. Joe Silva,michele89@robinson.info,+1-965-298-4552,East Willie,Minnesota,Sports,Vacuum,2,550.72,1101.44,2025-06-10,Cash,No
ORD1056,Margaret Myers,patrick87@krueger.com,+1-231-499-5660x1709,West Paul,Connecticut,Electronics,Basketball,5,1600.07,8000.35,2025-05-25,Credit Card,Yes
ORD1057,Andrew Montes,nguyencandace@gmail.com,(408)650-7356x8120,North Kimberlyburgh,Colorado,Sports,T-shirt,6,142.31,853.86,2025-06-05,PayPal,No
ORD1058,John Kline,gary73@yahoo.com,001-407-767-1469x1752,New Jessica,Massachusetts,Electronics,Laptop,10,206.88,2068.8,2025-05-16,Cash,No
ORD1059,Jose Elliott,levinelisa@kline.com,883-296-2818x9103,Bonnieview,Alabama,Toys,Laptop,7,957.74,6704.18,2025-03-01,Credit Card,No
ORD1060,Gregory Bryant,herringgina@berry.com,(143)675-0153,Lake Devinborough,Maryland,Electronics,T-shirt,10,466.4,4664.0,2025-01-22,PayPal,Yes
ORD1061,Mark Price,epage@hotmail.com,959.857.2812,Carterhaven,Oklahoma,Clothing,Basketball,5,1223.86,6119.3,2024-12-03,PayPal,Yes
ORD1062,Jerome Warren,lewisryan@yahoo.com,(953)457-9838x94819,Lake Janice,South Dakota,Sports,Laptop,2,1020.8,2041.6,2025-03-27,Cash,Yes
ORD1063,Aaron Morales,xfuller@cook.com,415-767-9798,Candiceberg,Virginia,Home,Basketball,6,1772.06,10632.36,2025-09-24,Credit Card,Yes
ORD1064,Laura Cooper,saraadams@yahoo.com,+1-109-519-0115x401,West Darrenmouth,New York,Electronics,Vacuum,1,1702.63,1702.63,2024-11-20,Cash,No
ORD1065,Daniel Wood,thomascharles@peterson.org,231.277.2177x279,Rebeccaland,North Dakota,Sports,T-shirt,5,426.71,2133.55,2025-05-16,PayPal,No
ORD1066,Samuel Guerra,vickieprince@gmail.com,001-652-406-8872x34546,Hayesview,Oklahoma,Sports,Vacuum,2,857.18,1714.36,2025-05-03,Credit Card,Yes
ORD1067,Ethan Peters,xmiranda@yahoo.com,001-115-045-6954x543,Gateshaven,Utah,Sports,Basketball,4,1427.26,5709.04,2025-09-02,PayPal,Yes
ORD1068,Tina Chavez,santhony@moore.info,001-705-594-1512x54049,Allenberg,Kansas,Sports,Laptop,4,398.83,1595.32,2025-04-04,PayPal,No
ORD1069,Fernando Mathews,leeshannon@clements.com,+1-042-726-2255x248,West Kellymouth,Iowa,Clothing,T-shirt,3,1852.98,5558.94,2025-04-04,PayPal,No
ORD1070,Jennifer Schroeder,kaiseramy@aguilar.com,402.691.5501,Stevensville,Montana,Sports,Action Figure,10,1136.28,11362.8,2025-10-01,PayPal,Yes
ORD1071,Kevin Gonzales,travis18@smith.info,+1-541-474-7885x0747,South Lance,Vermont,Sports,Basketball,7,967.44,6772.08,2025-08-17,Cash,Yes
ORD1072,Samuel Wheeler MD,michael49@hotmail.com,692.283.1262,Christopherchester,Delaware,Toys,Vacuum,6,70.51,423.06,2024-11-09,PayPal,Yes
ORD1073,Erin Goodwin,xgonzalez@gmail.com,001-554-722-5900,East Hollyville,Tennessee,Electronics,Vacuum,6,1652.95,9917.7,2025-06-25,Credit Card,No
ORD1074,Joshua Glover,robertowade@sanchez-greene.com,+1-151-911-9333,Sheppardbury,South Dakota,Clothing,T-shirt,2,738.58,1477.16,2025-04-15,Cash,No
ORD1075,Gary Mann,clayton80@yahoo.com,905.302.0678,Charlottefurt,West Virginia,Electronics,Action Figure,8,1999.74,15997.92,2025-03-17,Credit Card,Yes
ORD1076,Stanley Andrews,tiffanytucker@gmail.com,(767)432-1086,South Christopherport,Iowa,Home,Laptop,3,305.09,915.27,2025-07-23,Credit Card,No
ORD1077,Elizabeth Patel,schmidtscott@mcmillan-tyler.com,073-608-4039,Obrienfort,Maine,Toys,Action Figure,2,1454.78,2909.56,2025-09-05,PayPal,No
ORD1078,Danielle Peters,davishunter@stafford-gardner.com,588.780.4740x6998,Port Kaylaborough,Arizona,Home,Vacuum,8,411.48,3291.84,2025-05-23,Credit Card,No
ORD1079,Dennis Jordan DDS,elizabethgay@yahoo.com,001-809-871-3380x47648,Lake Tammyborough,Missouri,Toys,Action Figure,6,1291.78,7750.68,2025-01-10,Credit Card,No
ORD1080,Jamie King,monica33@payne.com,+1-933-496-3911x22732,Mayburgh,New Jersey,Clothing,Laptop,4,976.36,3905.44,2025-07-04,PayPal,No
ORD1081,David Acevedo,brandonwhite@gmail.com,(430)594-7534,Johnbury,North Carolina,Electronics,Basketball,6,1917.0,11502.0,2025-06-14,Cash,Yes
ORD1082,Nathaniel Harris,richardsonmegan@hotmail.com,884.999.1549x001,Richardton,Utah,Electronics,Vacuum,1,1571.25,1571.25,2025-07-03,PayPal,No
ORD1083,Randy Mcknight,christian32@vaughn.org,328.261.0435x9332,Katieton,Connecticut,Home,Basketball,1,1733.99,1733.99,2025-10-09,Credit Card,Yes
ORD1084,Sharon Hanson,donaldmontes@yahoo.com,2307433092,Ronaldstad,New Jersey,Clothing,Basketball,2,1385.69,2771.38,2025-07-27,PayPal,No
ORD1085,Carmen Sutton,kcarroll@hotmail.com,+1-184-919-4382x0576,Elliotthaven,Delaware,Clothing,Vacuum,8,895.6,7164.8,2024-11-13,PayPal,Yes
ORD1086,Wendy Edwards,kobrien@yahoo.com,+1-606-986-8173x855,Port Eric,Minnesota,Electronics,Laptop,4,1820.48,7281.92,2025-09-18,Credit Card,No
ORD1087,Bradley Sullivan,jessicafloyd@gmail.com,0236163804,New Heather,Colorado,Electronics,Action Figure,5,1374.47,6872.35,2025-06-19,Cash,Yes
ORD1088,Lisa Brown,sierra84@gmail.com,+1-450-580-5581x73659,East Thomastown,Ohio,Home,Vacuum,2,1706.0,3412.0,2025-04-03,Cash,Yes
ORD1089,Donna Carroll,sophia51@gmail.com,673.931.4610x829,East Jimmyfort,West Virginia,Toys,Action Figure,7,903.97,6327.79,2025-05-26,PayPal,No
ORD1090,Gail Dodson,matthewlang@gmail.com,0979453282,Michaelland,Ohio,Clothing,Vacuum,10,1761.26,17612.6,2025-06-09,PayPal,Yes
ORD1091,Matthew Jones,robert93@miller-king.info,636.330.3133x558,Ianport,Arkansas,Clothing,Vacuum,10,1323.14,13231.4,2025-02-27,Cash,No
ORD1092,James White,pwilson@pearson.info,712-926-9733x37793,Aprilfurt,Arkansas,Toys,Laptop,5,628.11,3140.55,2025-02-04,PayPal,No
ORD1093,Andrew Jackson,billhaynes@hotmail.com,6758081757,Davidside,Delaware,Electronics,Basketball,6,1330.55,7983.3,2025-06-04,PayPal,No
ORD1094,Vanessa Castro,allenrebecca@powers.net,001-831-728-8953x44165,East Elizabethton,Tennessee,Clothing,Basketball,8,1794.57,14356.56,2025-05-27,PayPal,Yes
ORD1095,Anna Cohen,jasonpotter@jones.org,(656)326-0957x770,South Dave,Montana,Toys,Basketball,2,456.46,912.92,2025-08-31,Cash,No
ORD1096,Albert Henderson,glee@hotmail.com,043-455-6403x31208,West Fernando,Connecticut,Electronics,Basketball,8,1564.79,12518.32,2025-08-29,Credit Card,No
ORD1097,Kyle Prince,karenlee@hotmail.com,(900)725-9686x247,North Johnny,South Dakota,Home,T-shirt,5,427.05,2135.25,2025-09-08,PayPal,Yes
ORD1098,Meghan Kelly,leepamela@gomez.com,+1-991-356-6281,Billychester,Wisconsin,Sports,T-shirt,2,983.68,1967.36,2024-12-11,Credit Card,No
ORD1099,Jeanne Turner,steven79@kane.net,107-501-2962,Millershire,Maryland,Toys,Basketball,4,38.82,155.28,2025-04-15,Cash,Yes
ORD1100,Charles Jones,nancysmith@gmail.com,+1-263-285-1319x57085,East Lauren,Indiana,Home,T-shirt,6,1532.3,9193.8,2025-08-28,Credit Card,Yes
ORD1101,Wendy Crawford,kennethtyler@yahoo.com,(284)235-0842x64125,Erinton,Louisiana,Clothing,Laptop,6,874.18,5245.08,2025-09-20,PayPal,Yes
ORD1102,Stanley Valentine,millerrobert@davis.net,001-763-118-5823,Lake Alison,Wyoming,Clothing,Action Figure,9,59.17,532.53,2025-04-13,Credit Card,No
ORD1103,Michael Macias,ubernard@travis.info,(966)862-7311x37137,South Aaron,Tennessee,Sports,Laptop,6,1742.39,10454.34,2024-11-07,Credit Card,Yes
ORD1104,Amy Potter,martinezcindy@gmail.com,4798811328,Carrilloburgh,Florida,Home,Basketball,10,1652.39,16523.9,2025-04-11,Cash,No
ORD1105,Sarah Hayes,xjohns@williams.net,490-728-9614x6052,Cohenview,Florida,Toys,Laptop,8,1984.19,15873.52,2025-01-05,Credit Card,No
ORD1106,Morgan Jones,brittanywilliams@hotmail.com,001-366-203-7227,North Williammouth,Vermont,Sports,Basketball,3,1838.44,5515.32,2025-09-17,Cash,No
ORD1107,Christy Williams,donnawashington@hotmail.com,(658)090-1719x0785,Ruthview,Iowa,Sports,Basketball,7,593.37,4153.59,2025-06-10,PayPal,Yes
ORD1108,James Williams,austinwest@dunn.com,839-146-8083x63252,Michealville,New Hampshire,Sports,Vacuum,9,489.47,4405.23,2024-11-11,Cash,Yes
ORD1109,Linda Garza,donnamays@hotmail.com,+1-365-877-6860,Georgemouth,Massachusetts,Clothing,Laptop,5,1284.99,6424.95,2024-11-10,Credit Card,No
ORD1110,Harold Wong,ortizjeffrey@yahoo.com,139-333-3274,West Marie,Iowa,Home,Laptop,5,60.13,300.65,2024-12-11,PayPal,No
ORD1111,Daniel Massey,jamiewaters@ellison-rivas.net,432.619.4351x33927,New Casey,New York,Toys,T-shirt,5,1380.13,6900.65,2025-04-01,Cash,No
ORD1112,Corey Johnson,eric47@jackson.info,(667)607-6079,South Brian,South Carolina,Electronics,Vacuum,7,143.89,1007.23,2024-12-05,Cash,No
ORD1113,Matthew Bernard,pshelton@yahoo.com,+1-017-810-3692,Port Davidmouth,Ohio,Home,Basketball,3,251.13,753.39,2025-03-17,PayPal,Yes
ORD1114,Jonathan Bean,kimberly60@hall.com,(368)217-5625x66899,Port Mark,North Dakota,Sports,Vacuum,1,995.61,995.61,2025-01-21,Credit Card,Yes
ORD1115,Mr. Michael Rollins,gmathews@gmail.com,216.686.7996x2287,North Mary,Georgia,Electronics,Vacuum,8,1840.38,14723.04,2025-01-01,Cash,Yes
ORD1116,Joseph Oliver,jacksonmatthew@wolf-thomas.com,(219)837-1973,Lake Carl,Massachusetts,Toys,T-shirt,5,1634.1,8170.5,2025-08-12,PayPal,No
ORD1117,Kyle Matthews,kayla48@gmail.com,+1-376-499-5029x8255,Rodriguezfurt,Minnesota,Sports,Vacuum,4,240.11,960.44,2024-11-30,Credit Card,No
ORD1118,Andrew Henderson,tina53@sharp-camacho.com,001-003-942-1334x43140,West Markport,North Dakota,Toys,Vacuum,10,1010.11,10101.1,2025-05-01,PayPal,Yes
ORD1119,Rebecca Moore,erika57@robinson.com,(744)930-9679,South Seanshire,Nebraska,Home,Laptop,1,850.64,850.64,2025-05-29,Credit Card,Yes
ORD1120,Ryan Barker,bmorrison@yahoo.com,257-869-3201x53028,Paulaside,South Dakota,Home,Laptop,8,912.54,7300.32,2025-04-14,Credit Card,Yes
ORD1121,Peter Goodman,rick49@valencia.com,(252)309-0394x4085,Lake Katherinemouth,North Carolina,Toys,Vacuum,9,632.64,5693.76,2025-07-11,Cash,Yes
ORD1122,Teresa Flynn,richard25@brown.com,001-998-849-8896x11680,Erinchester,Washington,Sports,T-shirt,7,172.54,1207.78,2025-02-10,Credit Card,No
ORD1123,Debra Cox,ashley51@taylor-rangel.org,670.328.3802x05877,New Valerie,Texas,Clothing,Basketball,1,546.37,546.37,2025-04-18,Credit Card,Yes
ORD1124,Tyler Torres,jill62@gmail.com,065.558.1443x89633,Montoyaberg,Louisiana,Toys,T-shirt,9,737.92,6641.28,2025-04-27,Cash,No
ORD1125,Antonio King,xwong@yahoo.com,(918)012-5841,Mclaughlinberg,New Mexico,Electronics,T-shirt,9,1344.59,12101.31,2025-09-22,Credit Card,No
ORD1126,Jennifer Hernandez,jeffreymurray@yahoo.com,+1-146-744-9702,Powellmouth,Iowa,Home,Vacuum,6,500.28,3001.68,2025-03-07,PayPal,No
ORD1127,Amanda Kim,robert23@yahoo.com,977-420-0904,Coreyfort,Vermont,Electronics,Action Figure,3,457.2,1371.6,2025-06-23,Cash,No
ORD1128,Linda Johnson,suzanne10@quinn.biz,234.903.7519x41282,New Jose,Colorado,Sports,Action Figure,7,799.06,5593.42,2025-05-17,PayPal,No
ORD1129,Christopher Francis,christopher24@chen.com,001-658-152-0059x4991,Pamelaburgh,Virginia,Electronics,Basketball,10,630.63,6306.3,2025-02-06,Credit Card,Yes
ORD1130,Austin Walker,kreyes@hotmail.com,(976)780-8421x066,Lake Patrick,Florida,Clothing,T-shirt,10,41.74,417.4,2025-09-16,Cash,No
ORD1131,Mr. Thomas Jenkins,sarahrussell@reid.biz,066.154.1998,New Kristen,Oklahoma,Electronics,Action Figure,2,878.69,1757.38,2024-11-11,Credit Card,No
ORD1132,Caitlin Good,daniellewright@vaughan.com,001-317-787-6263x7376,Loweberg,Nebraska,Home,Vacuum,9,1908.95,17180.55,2025-02-11,Cash,Yes
ORD1133,Megan Crane,warderic@ramirez.com,682.631.5448x74034,Port Carlos,West Virginia,Home,Action Figure,6,490.73,2944.38,2025-02-27,Credit Card,Yes
ORD1134,John Pittman,amy98@carter.biz,288-517-5401,Michelemouth,Missouri,Sports,Action Figure,5,1899.39,9496.95,2025-09-23,PayPal,No
ORD1135,Dr. Tiffany Bradley,jonesmindy@yahoo.com,069-256-0779x23405,New Samuelshire,Mississippi,Toys,Vacuum,2,1537.91,3075.82,2024-11-11,Credit Card,No
ORD1136,Jacob Wilson,wlin@hotmail.com,396-468-0726,Port Marthaburgh,Delaware,Toys,Basketball,5,886.95,4434.75,2025-03-30,Credit Card,No
ORD1137,Michael Burgess,andradeallison@gilmore.com,+1-957-759-3654x3387,Elizabethtown,Indiana,Home,Laptop,7,745.83,5220.81,2025-05-19,Credit Card,No
ORD1138,Scott Nelson,cunninghamjoshua@williams.net,001-123-585-7945x4588,Port Nicole,Rhode Island,Sports,Action Figure,1,1451.35,1451.35,2025-09-11,PayPal,Yes
ORD1139,Anna Mitchell,jenniferortiz@bennett-sullivan.com,(926)068-3730x222,West Jonchester,Michigan,Toys,Laptop,8,1733.75,13870.0,2025-02-09,Credit Card,No
ORD1140,Tammy Parks,kjackson@yahoo.com,(032)043-9841x684,North Jessica,Oregon,Sports,Vacuum,8,514.86,4118.88,2025-09-16,Cash,Yes
ORD1141,Lisa Ramos,guzmanrebecca@miranda-sharp.biz,068.083.7819x0837,Johnsonhaven,Massachusetts,Electronics,T-shirt,3,21.69,65.07,2025-07-08,Cash,No
ORD1142,Phillip Wise,roger44@brown-diaz.info,001-752-159-5214,Fletcherview,Nevada,Home,Basketball,9,347.62,3128.58,2025-06-01,Cash,Yes
ORD1143,Samantha Reed,bonniebrown@yahoo.com,312-606-4865x7065,Port Bruceton,Nevada,Home,Laptop,8,538.15,4305.2,2025-02-15,Credit Card,No
ORD1144,Daniel Hammond,mosleyjoshua@wagner.com,001-226-756-8113x899,Jacksonchester,Virginia,Clothing,Laptop,7,1293.34,9053.38,2025-08-22,Credit Card,No
ORD1145,Amanda Johnson,jocelyn70@benson.com,000.204.2373x68909,Hernandeztown,Louisiana,Clothing,Vacuum,2,900.0,1800.0,2024-12-08,Credit Card,No
ORD1146,Brenda Smith,johnny70@gmail.com,(183)968-9593x635,Lake Andrewhaven,Pennsylvania,Clothing,Vacuum,5,840.68,4203.4,2024-11-09,Cash,Yes
ORD1147,Alyssa Gregory,woodbenjamin@graham-hampton.com,+1-430-696-1322x471,West Kristie,Kentucky,Home,Laptop,1,1944.39,1944.39,2025-10-14,Credit Card,Yes
ORD1148,Shawn Jones,francotracy@lopez-best.biz,059.053.3409x55480,West Jason,Alaska,Sports,Laptop,9,1490.32,13412.88,2025-04-28,PayPal,No
ORD1149,Pamela Williams,matthewphelps@hotmail.com,001-652-506-1454x32389,Philipside,Iowa,Home,Action Figure,7,1246.74,8727.18,2025-09-13,PayPal,No
ORD1150,Leslie Brown,cchristensen@boyd.com,806-728-4256x521,North Miguel,Maine,Home,Laptop,4,705.82,2823.28,2025-02-03,PayPal,No
ORD1151,Mr. Jason Andrade,icrawford@hotmail.com,396.200.2053,New Dennisbury,New Hampshire,Clothing,T-shirt,5,347.39,1736.95,2024-11-19,Credit Card,Yes
ORD1152,Brandon Mccullough,adrienne11@hotmail.com,971-190-5408x63632,Lake Ashleymouth,Oregon,Electronics,Basketball,7,405.4,2837.8,2025-03-05,Credit Card,No
ORD1153,Stephanie Smith,suzannekennedy@torres.com,+1-519-612-9463x0938,Carolborough,Arizona,Home,Vacuum,4,1381.75,5527.0,2024-10-23,Cash,No
ORD1154,Kelly Mccoy,qbrown@hotmail.com,7612933350,Gabrielhaven,New Mexico,Clothing,Vacuum,5,120.46,602.3,2025-04-10,Cash,Yes
ORD1155,Hannah Berry,lisashields@yahoo.com,+1-302-605-8296x610,Walkerside,Montana,Toys,Action Figure,5,342.26,1711.3,2025-08-02,Credit Card,Yes
ORD1156,Michelle Mitchell,ricky56@hotmail.com,+1-841-782-8581x476,East Johnathan,Indiana,Electronics,T-shirt,9,1930.39,17373.51,2025-01-30,PayPal,Yes
ORD1157,George Faulkner,traceykane@mathis-bradley.com,534.232.1218x565,Nancytown,Massachusetts,Electronics,T-shirt,7,199.7,1397.9,2025-04-08,Credit Card,Yes
ORD1158,Mitchell Johnson,patrickbeasley@gmail.com,(323)615-9336,New Tonyton,Florida,Toys,Basketball,1,1697.01,1697.01,2025-07-29,Credit Card,Yes
ORD1159,Tony Le,jamesdavis@hall.info,137-176-6292x0047,Port Tiffanyside,Illinois,Home,T-shirt,9,1654.13,14887.17,2024-11-23,Cash,No
ORD1160,Jeremy Stevenson,renee15@le.com,171.230.2297x837,East Ryan,New York,Electronics,Laptop,1,1725.99,1725.99,2024-12-27,PayPal,No
ORD1161,Taylor Thornton,jonesyolanda@ellis.info,+1-541-281-5206x18394,North Alexanderhaven,Delaware,Home,Vacuum,8,1031.99,8255.92,2025-05-27,Credit Card,Yes
